Metal,Cluster,Method,Energy_1(meV/atom),Energy_2(meV/atom),Energy_3(meV/atom),Energy_4(meV/atom)
Au,4,PBE,1548.2554249999998,1542.0828050000002,1450.28531,1261.2668500000002
Au,4,PBE-D2,1578.8815124999999,1572.5141950000002,1488.9595474999999,1303.5308925
Au,4,PBE-DDSC,1591.8392425,1577.5640700000001,1478.5367850000002,1308.7831625000001
Au,4,PBE-D30,1567.7487975,1560.37213,1470.11285,1289.9434475
Au,4,PBE-D3,1602.9490775,1589.2695225,1490.7356374999997,1320.019595
Au,4,PBE-TS,1554.239955,1548.7779875,1459.9920275,1264.5702775
Au,4,PBE-TSHI,1554.4238300000002,1548.712735,1459.8863,1264.0926874999998
Au,4,PBE-D4,1612.0350475,1596.869505,1497.2128275,1329.94711
Au,4,PBE-MBDHI,1587.06607,1573.466985,1477.8916125,1304.4655025
Au,4,PBE-MBDFI,1602.24012,1586.7368900000001,1488.2398750000002,1320.5756750000003
Au,4,revPBE,1340.797135,1352.845405,1279.10959,1061.6823075000002
Au,4,REVPBE-D30,1387.386485,1390.6111825,1315.6779549999999,1141.8762675
Au,4,revPBE-D3,1451.1245,1447.5655574999998,1360.2860249999999,1180.59147
Au,4,revPBE-D4,1454.71551,1449.4746699999998,1361.1803725,1185.37854
Au,4,PBEsol,1783.1325075,1754.83386,1634.78769,1476.480915
Au,4,PBEsol-D3,1814.7412275000002,1784.2866975,1660.81194,1509.0341025
Au,4,PBEsol-D4,1803.6548675,1774.007535,1651.759105,1497.5955700000002
Au,4,vdW-DF,1328.1371499999998,1339.8151475,1276.1411624999998,1073.2115724999999
Au,4,vdW-DF2,1351.4177875,1368.0585525,1317.7843899999998,1105.1885899999997
Au,4,optB86b-vdW,1642.5667849999998,1621.7614375,1516.5503625,1360.179625
Au,4,rev-vdW-DF2,1619.5497925,1601.9816225,1502.5392274999997,1336.8476974999999
Au,4,TPSS,1551.5362725,1537.7984875,1430.821745,1262.9438774999999
Au,4,R2SCAN,1635.9236250000038,1624.0135850000001,1516.5360499999992,1343.1637824999996
Au,4,R2SCAN-D3,1650.5043900000019,1637.5930000000026,1528.5683124999991,1358.196407500003
Au,4,R2SCAN-D4,1647.279557499999,1634.6595925000001,1526.0013299999996,1354.8375975000013
Au,4,R2SCAN-RVV10,1681.5815349999993,1663.3053374999988,1549.5916725000002,1389.9361324999973
Au,4,SCAN-rVV10,1714.1402274999962,1703.0047699999927,1591.2452074999946,1402.7274324999867
Au,4,PBE0,1373.8758424999999,1365.5447399999998,1252.6854525,1086.1789050000002
Au,4,PBE0-D30,1396.8523074999998,1386.51579,1274.4493199999997,1122.2119424999999
Au,4,PBE0-D3,1430.454395,1414.8317025000003,1295.241915,1146.6029375
Au,4,PBE0-D4,1428.5704275,1413.2276749999999,1293.9088975000002,1144.548565
Au,4,PBE0-TSHI,1379.9701025000002,1371.993485,1261.932225,1088.69463
Au,4,PBE0-MBDHI,1404.1756124999997,1391.1274724999998,1274.8661475,1119.5714475
Au,4,PBE0-MBDFI,1419.9220625000003,1403.6666500000001,1285.6541475000001,1136.4103249999998
Au,4,HSE06,1377.5449824999998,1369.1404650000002,1259.4390525,1089.3288925000002
Au,4,HSE06-D4,1431.2392324999998,1415.9952825,1299.9654074999999,1146.5987825
Au,4,B3LYP,1242.210785,1257.0464674999998,1181.9236349999999,967.7648575
Au,4,B3LYP-D2,1285.0872499999998,1299.650765,1236.06777,1026.9346424999999
Au,4,B3LYP-D30,1282.95247,1292.43472,1218.86726,1033.6303775
Au,4,B3LYP-D3,1369.0604025,1364.61566,1273.1343075,1105.5833675
Au,4,B3LYP-D4,1655.61441,1633.8330349999999,1528.718965,1377.2843325
Au,6,PBE,1931.4337866666667,1768.5779833333336,1688.9783816666668,1715.887985
Au,6,PBE-D2,1999.0326266666666,1859.9093883333335,1761.4595533333336,1792.7350366666667
Au,6,PBE-DDSC,1988.5142983333335,1833.6765650000002,1760.917315,1772.8109433333334
Au,6,PBE-D30,1969.3231150000004,1816.8805899999998,1732.7626950000001,1757.2453900000003
Au,6,PBE-D3,2007.1442399999996,1853.584016666667,1778.7735833333334,1791.0741083333332
Au,6,PBE-TS,1946.7349916666665,1789.525075,1702.61506,1732.3622616666667
Au,6,PBE-TSHI,1946.496115,1789.3504016666668,1702.638505,1731.8350699999999
Au,6,PBE-D4,2019.2133316666668,1867.44408,1793.6247316666668,1803.1981416666665
Au,6,PBE-MBDHI,1986.6538500000001,1831.737336666667,1756.3637716666667,1771.2883866666666
Au,6,PBE-MBDFI,2010.6113216666665,1858.3176133333334,1785.0139783333336,1794.3263050000003
Au,6,revPBE,1690.44466,1521.3665383333334,1430.5768783333333,1476.3578799999998
Au,6,REVPBE-D30,1767.39888,1624.88116,1535.6419183333335,1564.6286016666666
Au,6,revPBE-D3,1842.5316799999998,1693.0776033333332,1611.99892,1627.5976816666666
Au,6,revPBE-D4,1844.4537783333335,1696.0224166666665,1617.0192183333331,1629.989305
Au,6,PBEsol,2212.48691,2050.6045716666667,1989.3074316666666,1988.3005933333334
Au,6,PBEsol-D3,2260.9060633333333,2102.3003933333334,2041.8671599999998,2035.6140666666668
Au,6,PBEsol-D4,2244.020281666667,2084.1697666666664,2023.4236249999994,2019.1289149999996
Au,6,vdW-DF,1671.0378249999997,1517.4009783333331,1424.7892650000001,1468.8567449999998
Au,6,vdW-DF2,1685.558953333333,1534.3541033333333,1431.91827,1496.9526216666666
Au,6,optB86b-vdW,2048.926338333333,1897.9036183333333,1834.424633333333,1833.1022216666665
Au,6,rev-vdW-DF2,2018.5347366666665,1866.8677333333333,1800.1219133333332,1805.1191866666666
Au,6,TPSS,1944.5669033333336,1782.6504466666665,1720.132843333333,1718.6311516666665
Au,6,R2SCAN,2065.4825650000034,1891.6455600000077,1815.80094666667,1834.6032500000006
Au,6,R2SCAN-D3,2087.784059999997,1915.421170000002,1840.0193049999984,1856.434401666668
Au,6,R2SCAN-D4,2082.991151666661,1910.2032933333319,1834.668018333332,1851.7433983333333
Au,6,R2SCAN-RVV10,2122.991814999999,1954.2246433333332,1883.8884016666668,1891.677901666668
Au,6,SCAN-rVV10,2172.575391666655,1972.735700000001,1911.8081933333287,1941.713458333325
Au,6,PBE0,1758.1067133333336,1598.2354550000002,1510.3949516666667,1495.3988516666668
Au,6,PBE0-D30,1801.138735,1653.4588433333333,1562.2146466666666,1543.2625649999998
Au,6,PBE0-D3,1837.6321300000002,1687.1974716666668,1603.6269916666668,1574.2039483333335
Au,6,PBE0-D4,1835.0789383333336,1684.3286383333336,1600.540375,1571.6907933333334
Au,6,PBE0-TSHI,1772.5907750000003,1618.1137183333335,1523.5393016666667,1510.5936849999998
Au,6,PBE0-MBDHI,1802.62169,1648.9996350000004,1563.8621733333332,1539.86938
Au,6,PBE0-MBDFI,1826.38804,1675.4465933333333,1592.4354533333333,1562.6276283333332
Au,6,HSE06,1761.0811700000002,1602.5527049999998,1513.490926666667,1502.5766683333334
Au,6,HSE06-D4,1836.7436833333334,1687.1343716666668,1602.0044233333338,1577.5536383333338
Au,6,B3LYP,1588.2586450000003,1422.5715066666667,1311.016548333333,1349.7732833333334
Au,6,B3LYP-D2,1682.8970316666664,1550.4354849999997,1412.4902016666665,1457.3591666666669
Au,6,B3LYP-D30,1661.68058,1520.1981983333333,1403.546405,1432.98211
Au,6,B3LYP-D3,1759.6674183333334,1616.9481566666668,1518.6375016666666,1520.6940016666667
Au,6,B3LYP-D4,2078.3967666666667,1934.844975,1865.2390699999996,1862.2459283333333
Au,8,PBE,2008.63607875,1935.5712187499998,1966.3596062499996,1915.6665612499996
Au,8,PBE-D2,2121.51039625,2087.3568212500004,2062.13113125,2085.68999625
Au,8,PBE-DDSC,2072.30350875,2024.2273337500003,2035.95932125,2007.9733712500004
Au,8,PBE-D30,2064.550405,2013.160935,2018.83678,1999.51772375
Au,8,PBE-D3,2096.36926375,2052.0350925,2059.94983125,2036.2878687500001
Au,8,PBE-TS,2032.597505,1965.314865,1989.0173775,1946.9048000000003
Au,8,PBE-TSHI,2031.6696475000003,1963.85505625,1988.8934912500004,1945.1669162500002
Au,8,PBE-D4,2109.9092475,2070.9283925000004,2074.6253400000005,2056.02288875
Au,8,PBE-MBDHI,2072.80995375,2025.6373450000003,2036.3323325000001,2009.9446537499998
Au,8,PBE-MBDFI,2100.5039475,2064.75747,2068.0044249999996,2050.7804075
Au,8,revPBE,1755.76259,1649.5007137500002,1702.52511,1625.48947
Au,8,REVPBE-D30,1862.8581387499999,1820.8338112499998,1805.3157762499998,1813.4291437499999
Au,8,revPBE-D3,1931.1752849999998,1884.7768250000001,1890.1115137499999,1869.5203075
Au,8,revPBE-D4,1931.1876162499998,1888.4807700000001,1891.11457625,1873.9823975
Au,8,PBEsol,2303.92093125,2272.31035125,2275.92498875,2256.8185387500002
Au,8,PBEsol-D3,2364.3063912500006,2343.7488987500005,2338.1602499999995,2329.5493650000003
Au,8,PBEsol-D4,2343.3903725,2318.71720125,2316.55212125,2304.02972125
Au,8,vdW-DF,1738.1107662499999,1649.463255,1683.9505649999999,1628.72841875
Au,8,vdW-DF2,1753.1166487499997,1650.2876637499999,1693.6364775,1628.2134249999997
Au,8,optB86b-vdW,2134.8568387500004,2109.6526999999996,2102.6450125,2095.72264125
