Metal,Method,Energy1(meV),Energy2(meV),Energy3(meV),Energy4(meV),Energy5(meV),Energy6(meV),Energy7(meV),Energy8(meV)
Au,PBE,1427.7001399999572,304.5358299999576,779.2797299999106,368.57562000000723,299.8099800000582,700.2423100000694,496.2367099999758,459.36902000002755
Au,PBE-D2,2146.7265300001923,837.8046999999999,1340.9883100001175,1265.9552100001572,1244.890550000143,1834.0096500000805,1480.7427900002233,1454.6046300001715
Au,PBE-D2-Ne,1842.3424299998583,613.0692299999585,1080.2492299999963,894.871399999857,824.8358800000162,1296.6280999998894,1051.5304400000525,1017.6492900000036
Au,PBE-DDSC,1698.9029000001335,535.8809199999364,1050.882119999967,747.2143800000003,687.6446599999473,1128.571620000017,920.7500900000003,868.5345600000427
Au,PBE-D30,2046.563190000109,814.5333500000995,1366.2285499999407,1218.5791300000344,1193.6916400000048,1721.1504600000076,1424.1596600001208,1381.2846599999805
Au,PBE-D3,1909.3301400000912,678.9044700000577,1239.5313200001801,966.861720000125,897.5269200001757,1389.1241700001426,1158.2863800001596,1106.0651400000681
Au,PBE-TS,1889.7659899999715,754.5034500000827,1281.0170300000766,1098.9073600000104,967.360889999898,1375.7902699999981,1206.3817600000984,1161.3670000001064
Au,PBE-TSHI,1686.2089699998246,471.9612099999804,1004.1417399999042,622.8131999999489,576.3489399998614,1039.4525199999425,825.5732399999225,776.6408199999714
Au,PBE-D4,1790.1214000000462,583.5110600000455,1126.1313200001543,825.6626799999549,755.4438199999738,1232.338529999959,1005.7986400001026,955.9244400001212
Au,PBE-MBDHI,1684.3827600001275,491.15280999995514,1017.2202400001131,656.619150000136,591.4273200000371,1051.61206000004,827.075840000016,780.9673100000584
Au,PBE-MBDFI,1861.4709999999404,649.5739500000783,1194.6731299999844,998.5469100001562,921.2158500000033,1397.5715100001262,1183.7833799999835,1111.362550000092
Au,revPBE,1119.4144999997873,118.73108999978754,500.7309099999824,62.84409000000668,-7.035070000152022,278.98796999994914,115.71089999991146,96.23320999988216
Au,REVPBE-D30,2143.7140699999786,910.046649999797,1415.275479999816,1428.1054299999741,1476.1621899998959,2043.7859299999932,1686.2621799998644,1654.0460099999766
Au,revPBE-D3,2022.8369900001258,814.2421599999481,1365.8582699999772,1204.3686099999125,1130.491429999915,1601.9689399999688,1385.0261800000098,1334.404670000076
Au,revPBE-D4,1727.4859799999304,580.6313299999268,1089.8737399998804,842.3969599999089,767.9288500000405,1208.3111600000013,1002.3642899999641,957.1331099998779
Au,PBEsol,1788.0346499999798,440.5867200000499,1053.8678800000998,608.3433100000666,548.2930800000272,1134.3247400000482,849.0938700000581,794.7641699999837
Au,PBEsol-D3,2269.4361299998927,827.2504599999353,1512.6732699999334,1184.8375700000072,1126.9448799999498,1779.1328399999143,1473.617729999882,1408.2358599998872
Au,PBEsol-D4,2026.2548800001855,630.784080000018,1281.7158000002066,895.6514800000699,837.4055000001133,1459.038610000023,1163.263700000051,1102.9139000001692
Au,vdW-DF,1330.4998199999934,401.8163600000446,769.0773800000205,508.65767999996956,427.6106399999704,663.6652500000215,546.9703799999754,504.1944599999875
