Metal,Cluster,Method,Energy_1(meV),Energy_2(meV),Energy_3(meV),Energy_4(meV)
Au,4,PBE,0.0,24.690479999999404,391.8804599999994,1147.9542999999994
Au,4,PBE-D2,0.0,25.469269999999433,359.68786000000017,1101.40248
Au,4,PBE-DDSC,0.0,57.10068999999951,453.2098299999996,1132.2243199999998
Au,4,PBE-D30,0.0,29.506669999999957,390.5437899999997,1111.2214
Au,4,PBE-D3,0.0,54.71821999999982,448.8537600000004,1131.7179299999998
Au,4,PBE-TS,0.0,21.847870000000214,376.9917100000004,1158.6787100000001
Au,4,PBE-TSHI,0.0,22.84438000000044,378.1501199999999,1161.3245700000004
Au,4,PBE-D4,0.0,60.662170000000515,459.2888799999999,1128.3517500000003
Au,4,PBE-MBDHI,0.0,54.396340000000265,436.69782999999995,1130.4022700000003
Au,4,PBE-MBDFI,0.0,62.012919999999916,456.0009799999998,1126.6577799999995
Au,4,revPBE,0.0,-48.19307999999989,246.75018000000026,1116.4593099999997
Au,4,REVPBE-D30,0.0,-12.898790000000382,286.83412,982.0408699999996
Au,4,revPBE-D3,0.0,14.235769999999981,363.3538999999999,1082.1321199999998
Au,4,revPBE-D4,0.0,20.96336000000054,374.1405499999999,1077.3478800000005
Au,4,PBEsol,0.0,113.19458999999998,593.3792699999998,1226.6063699999997
Au,4,PBEsol-D3,0.0,121.81812000000036,615.7171500000001,1222.8285000000003
Au,4,PBEsol-D4,0.0,118.58932999999982,607.5830499999997,1224.2371899999994
Au,4,vdW-DF,0.0,-46.71199000000037,207.98395000000002,1019.7023099999996
Au,4,vdW-DF2,0.0,-66.56306000000001,134.5335900000002,984.9167900000007
Au,4,optB86b-vdW,0.0,83.22138999999939,504.06569,1129.5486399999995
Au,4,rev-vdW-DF2,0.0,70.27267999999998,468.0422600000003,1130.8083800000004
Au,4,TPSS,0.0,54.95114000000001,482.85810999999956,1154.36958
Au,4,R2SCAN,0.0,47.640160000014475,477.5503000000185,1171.0393700000168
Au,4,R2SCAN-D3,0.0,51.645559999997204,487.7443100000107,1169.2319299999951
Au,4,R2SCAN-D4,0.0,50.479859999995824,485.112909999998,1169.7678399999916
Au,4,R2SCAN-RVV10,0.0,73.10479000000214,527.9594499999973,1166.5816100000086
Au,4,SCAN-rVV10,0.0,44.541830000014215,491.58008000000564,1245.6511800000385
Au,4,PBE0,0.0,33.324410000000526,484.7615599999999,1150.7877500000002
Au,4,PBE0-D30,0.0,41.34606999999946,489.61195000000043,1098.56146
Au,4,PBE0-D3,0.0,62.49076999999836,540.8499199999994,1135.405829999999
Au,4,PBE0-D4,0.0,61.371010000000226,538.6461199999992,1136.0874499999998
Au,4,PBE0-TSHI,0.0,31.90647000000091,472.15151000000066,1165.1018900000008
Au,4,PBE0-MBDHI,0.0,52.19255999999994,517.2378599999998,1138.416659999999
Au,4,PBE0-MBDFI,0.0,65.02165000000026,537.0716600000005,1134.046950000001
Au,4,HSE06,0.0,33.618070000000166,472.4237200000001,1152.8643599999998
Au,4,HSE06-D4,0.0,60.97579999999958,525.0953000000003,1138.5617999999997
Au,4,B3LYP,0.0,-59.34273000000001,241.14859999999982,1097.78371
Au,4,B3LYP-D2,0.0,-58.25406000000033,196.07791999999958,1032.6104300000002
Au,4,B3LYP-D30,0.0,-37.9290000000001,256.34084,997.2883699999998
Au,4,B3LYP-D3,0.0,17.77897000000017,383.7043800000002,1053.9081399999998
Au,4,B3LYP-D4,0.0,87.12549999999996,507.58177999999975,1113.3203099999998
Au,4,B2PLYP,0.0,48.633307166887924,524.9524684535542,1153.2557169777108
Au,4,HF,0.0,-130.83867952185693,279.32918613237433,1004.9104572711844
Au,4,MP2,0.0,222.95680133766473,1015.0479070489783,1342.65292099523
Au,4,CCSD,0.0,74.67484050851783,640.7071159437055,1186.6351115329294
Au,4,CCSD(T),0.0,191.1095837469488,787.7972408158731,1217.9428327685166
Au,6,PBE,0.0,977.1348199999999,1454.73243,1293.27481
Au,6,PBE-D2,0.0,834.7394299999991,1425.4384399999988,1237.7855399999992
Au,6,PBE-DDSC,0.0,929.0263999999997,1365.5818999999988,1294.2201299999992
Au,6,PBE-D30,0.0,914.6551500000015,1419.36252,1272.4663500000001
Au,6,PBE-D3,0.0,921.3613399999989,1370.223939999999,1296.4207899999992
Au,6,PBE-TS,0.0,943.2594999999999,1464.7195899999997,1286.23638
Au,6,PBE-TSHI,0.0,942.8742799999999,1463.1456600000004,1287.9662700000001
Au,6,PBE-D4,0.0,910.6155099999995,1353.5315999999984,1296.0911399999998
Au,6,PBE-MBDHI,0.0,929.4990799999994,1381.7404700000004,1292.1927800000005
Au,6,PBE-MBDFI,0.0,913.7622499999995,1353.5840599999992,1297.7100999999998
Au,6,revPBE,0.0,1014.468729999999,1559.20669,1284.52068
Au,6,REVPBE-D30,0.0,855.1063200000009,1390.5417700000005,1216.6216700000002
Au,6,revPBE-D3,0.0,896.7244599999997,1383.19656,1289.6039899999998
Au,6,revPBE-D4,0.0,890.5881700000009,1364.6073600000009,1286.7868399999995
Au,6,PBEsol,0.0,971.294030000001,1339.0768700000012,1345.1179
Au,6,PBEsol-D3,0.0,951.6340200000002,1314.2334200000007,1351.7519799999995
Au,6,PBEsol-D4,0.0,959.1030899999993,1323.57994,1349.3481999999997
Au,6,vdW-DF,0.0,921.8210799999999,1477.4913599999993,1213.0864800000004
Au,6,vdW-DF2,0.0,907.2290999999994,1521.8441,1131.6379899999997
Au,6,optB86b-vdW,0.0,906.1363199999998,1287.0102299999999,1294.9447000000002
Au,6,rev-vdW-DF2,0.0,910.0020199999999,1310.47694,1280.4932999999999
Au,6,TPSS,0.0,971.4987399999994,1346.6043600000007,1355.6145100000006
Au,6,R2SCAN,0.0,1043.0220299999746,1498.089709999988,1385.2758900000026
Au,6,R2SCAN-D3,0.0,1034.1773399999852,1486.588530000006,1388.097949999974
Au,6,R2SCAN-D4,0.0,1036.7271499999902,1489.9388000000044,1387.4865199999817
Au,6,R2SCAN-RVV10,0.0,1012.6030299999798,1434.6204799999782,1387.8834799999709
Au,6,SCAN-rVV10,0.0,1199.0381499999785,1564.603190000014,1385.1715999999783
Au,6,PBE0,0.0,959.2275499999996,1486.2705700000004,1576.2471700000003
Au,6,PBE0-D30,0.0,886.0793499999993,1433.5445300000008,1547.25702
Au,6,PBE0-D3,0.0,902.6079500000002,1404.03083,1580.5690900000009
Au,6,PBE0-D4,0.0,904.5018000000002,1407.2313800000006,1580.3288700000007
Au,6,PBE0-TSHI,0.0,926.8623400000014,1494.3088400000004,1571.9825400000004
Au,6,PBE0-MBDHI,0.0,921.7323299999994,1432.5571000000004,1576.5138600000005
Au,6,PBE0-MBDFI,0.0,905.6486800000006,1403.7155200000004,1582.562470000001
Au,6,HSE06,0.0,951.1707900000008,1485.5414600000004,1551.0270100000002
Au,6,HSE06-D4,0.0,897.6558699999995,1408.4355599999992,1555.140269999999
Au,6,B3LYP,0.0,994.1228300000002,1663.4525800000013,1430.912170000001
Au,6,B3LYP-D2,0.0,794.7692800000005,1622.4409800000003,1353.22719
Au,6,B3LYP-D30,0.0,848.8942900000005,1548.8050500000004,1372.1908200000003
Au,6,B3LYP-D3,0.0,856.3155699999995,1446.1794999999995,1433.8404999999987
Au,6,B3LYP-D4,0.0,861.3107499999994,1278.9461800000001,1296.9050299999997
Au,6,B2PLYP,0.0,909.2134610091452,1446.01505166079,1468.2649790483222
Au,6,HF,0.0,985.988932606157,1667.8867944127703,1987.3351476826876
Au,6,MP2,0.0,822.9743491300865,1242.797447708483,1670.3207932564515
Au,6,CCSD,0.0,1042.9791819732757,1552.887873063738,1850.5319869325292
Au,6,CCSD(T),0.0,879.9240598351795,1312.7644943065586,1567.919639789494
Au,8,PBE,0.0,584.518880000001,338.21178000000174,743.7561400000021
Au,8,PBE-D2,0.0,273.22859999999946,475.03412000000014,286.5631999999998
Au,8,PBE-DDSC,0.0,384.6093999999987,290.753500000001,514.6410999999987
Au,8,PBE-D30,0.0,411.11575999999775,365.7089999999989,520.2614499999995
Au,8,PBE-D3,0.0,354.67337000000043,291.35545999999835,480.65115999999716
Au,8,PBE-TS,0.0,538.2611199999978,348.6410199999988,685.5416399999967
Au,8,PBE-TSHI,0.0,542.5167300000027,342.20924999999977,692.0218499999997
Au,8,PBE-D4,0.0,311.84683999999766,282.27125999999816,431.09086999999846
Au,8,PBE-MBDHI,0.0,377.3808699999996,291.8209699999999,502.92240000000277
Au,8,PBE-MBDFI,0.0,285.9718200000003,259.9961800000017,397.7883200000001
Au,8,revPBE,0.0,850.0950099999986,425.8998399999996,1042.18496
Au,8,REVPBE-D30,0.0,336.19462000000055,460.33889999999997,395.4319599999998
Au,8,revPBE-D3,0.0,371.18767999999847,328.51017000000127,493.23981999999944
Au,8,revPBE-D4,0.0,341.6547699999981,320.58431999999823,457.6417500000005
Au,8,PBEsol,0.0,252.88463999999777,223.9675400000003,376.81913999999847
Au,8,PBEsol-D3,0.0,164.45994000000042,209.16913000000292,278.0562100000026
Au,8,PBEsol-D4,0.0,197.38536999999923,214.7060099999969,314.8852099999999
Au,8,vdW-DF,0.0,709.1800900000003,433.2816099999999,875.0587799999998
Au,8,vdW-DF2,0.0,822.6318799999995,475.8413699999995,999.2257899999996
Au,8,optB86b-vdW,0.0,201.63311000000039,257.6946100000006,313.07358000000016
Au,8,rev-vdW-DF2,0.0,255.53122999999988,272.70189,373.34171000000003
Au,8,TPSS,0.0,363.8092699999973,279.451169999998,500.91198999999875
Au,8,R2SCAN,0.0,483.9675499999885,346.026610000024,639.701510000009
Au,8,R2SCAN-D3,0.0,444.0195399999993,339.21175000000403,595.0200700000323
Au,8,R2SCAN-D4,0.0,454.8453100000529,341.14827000001924,607.2211000000038
Au,8,R2SCAN-RVV10,0.0,336.7518200000177,309.42363999997724,472.3789000000238
Au,8,SCAN-rVV10,0.0,568.4190299999727,370.4263099999707,774.6398399999634
Au,8,PBE0,0.0,562.1426199999995,407.66075999999885,705.3092499999991
Au,8,PBE0-D30,0.0,348.55994000000123,449.13864000000103,426.6491099999996
Au,8,PBE0-D3,0.0,330.6018200000018,361.23556000000076,440.8219399999993
Au,8,PBE0-D4,0.0,338.92267999999956,362.8393699999997,450.26438000000013
Au,8,PBE0-TSHI,0.0,523.6345599999979,408.5418199999999,658.635259999997
Au,8,PBE0-MBDHI,0.0,400.7283000000008,373.91178000000025,517.0110000000001
Au,8,PBE0-MBDFI,0.0,309.2340199999981,348.49174000000005,410.74120999999764
Au,8,HSE06,0.0,558.9290200000007,392.6210300000008,698.4030099999998
Au,8,HSE06-D4,0.0,340.59170000000097,348.83694999999904,448.9973499999991
Au,8,B3LYP,0.0,957.5372100000017,525.4464100000007,1147.6011500000034
Au,8,B3LYP-D2,0.0,521.7308099999975,716.9976799999986,507.5310099999974
