Metal,Method,1,2,3
Au,PBE,0.0,1181.3905499998327,1085.1835199996458
Au,PBE-D2,0.0,648.5108199999559,440.3176599998915
Au,PBE-D2-Ne,0.0,648.5108199999559,440.3176599998915
Au,PBE-DDSC,0.0,660.8502999997654,585.4267300001084
Au,PBE-D30,0.0,-560.4502299997876,-785.6821199998194
Au,PBE-D3,0.0,392.3160500003178,290.59950999999273
Au,PBE-TS,0.0,-725.6341500001326,-823.703910000404
Au,PBE-TSHI,0.0,755.6538700000601,670.2846299999692
Au,PBE-D4,0.0,1039.1252899999017,964.3233499996313
Au,revPBE,0.0,1251.9178000002285,1151.355489999787
Au,REVPBE-D30,0.0,-905.172709999988,-1280.21531999957
Au,revPBE-D3,0.0,-127.2444500000347,-236.19779999989987
Au,revPBE-D4,0.0,1078.3474999998361,1010.6054399998357
Au,PBEsol,0.0,1394.6003500000188,1292.293729999983
Au,PBEsol-D3,0.0,333.86250000012296,225.79102999998213
Au,PBEsol-D4,0.0,1000.3221299998586,905.3409599996485
Au,vdW-DF,0.0,521.4161199999126,435.54732999996304
Au,vdW-DF2,0.0,96.98157000002539,24.820180000006076
Au,optB86b-vdW,0.0,966.774740000119,881.7297200000667
Au,rev-vdW-DF2,0.0,1080.1192000001265,999.9127200001112
Au,R2SCAN,0.0,1152.2188399994775,1005.7908899998438
Au,R2SCAN-D3,0.0,556.5174700004718,403.6214800007656
Au,R2SCAN-D4,0.0,848.4969700002694,685.9997999999905
Au,R2SCAN-RVV10,0.0,908.2644800000708,755.5743399998391
Au,SCAN-rVV10,0.0,696.3187199999084,499.46946000000025
Au,PBE0,0.0,1986.1268599997857,1778.4769800000504
Au,PBE0-D30,0.0,132.3468599998705,-246.57306000017343
Au,PBE0-D3,0.0,1087.9156099999818,876.2338199999249
Au,PBE0-D4,0.0,1750.4081600000063,1562.154069999906
Au,PBE0-TSHI,0.0,1536.797149999984,1342.78624999979
Au,HSE06,0.0,1904.8124999999345,1717.5788899999134
Au,HSE06-D4,0.0,1676.7796199997065,1509.5355999997082
Au,B3LYP,0.0,1314.5255699996596,1114.5994599996811
Au,B3LYP-D2,0.0,568.5988099999122,211.9282899998325
Au,B3LYP-D2-Ne,0.0,568.5988099999122,211.9282899998325
Au,B3LYP-D30,0.0,-1489.8869800003922,-1992.9688199999873
Au,B3LYP-D3,0.0,217.2094699999434,18.281310000020312
Au,HF
Au,MP2
Au,CCSD
Au,CCSD(T)
