Metal,Method,Energy1(meV),Energy2(meV),Energy3(meV)
Au,PBE,0.0,1185.9329184998326,1090.686050499646
Au,PBE-D2,0.0,653.0531884999558,445.8201904998915
Au,PBE-D2-Ne,0.0,653.0531884999558,445.8201904998915
Au,PBE-DDSC,0.0,665.3926684997654,590.9292605001084
Au,PBE-D30,0.0,-555.9078614997876,-780.1795894998194
Au,PBE-D3,0.0,396.8584185003177,296.10204049999277
Au,PBE-TS,0.0,-721.0917815001327,-818.201379500404
Au,PBE-TSHI,0.0,760.1962385000601,675.7871604999692
Au,PBE-D4,0.0,1043.6676584999016,969.8258804996314
Au,PBE-MBDHI,0.0,4.542368499999952,5.502530500000034
Au,PBE-MBDFI,0.0,4.542368499999952,5.502530500000034
Au,revPBE,0.0,1256.4601685002283,1156.8580204997872
Au,REVPBE-D30,0.0,-900.630341499988,-1274.71278949957
Au,revPBE-D3,0.0,-122.70208150003475,-230.69526949989984
Au,revPBE-D4,0.0,1082.889868499836,1016.1079704998357
Au,PBEsol,0.0,1399.1427185000186,1297.7962604999832
Au,PBEsol-D3,0.0,338.4048685001229,231.29356049998216
Au,PBEsol-D4,0.0,1004.8644984998584,910.8434904996485
Au,vdW-DF,0.0,525.9584884999125,441.0498604999631
Au,vdW-DF2,0.0,101.52393850002534,30.32271050000611
Au,optB86b-vdW,0.0,971.3171085001189,887.2322505000667
Au,rev-vdW-DF2,0.0,1084.6615685001264,1005.4152505001113
Au,R2SCAN,0.0,1156.7612084994773,1011.2934204998438
Au,R2SCAN-D3,0.0,561.0598385004718,409.1240105007656
Au,R2SCAN-D4,0.0,853.0393385002693,691.5023304999905
Au,R2SCAN-RVV10,0.0,912.8068485000707,761.0768704998392
Au,SCAN-rVV10,0.0,700.8610884999083,504.9719905000003
Au,PBE0,0.0,1990.6692284997855,1783.9795105000505
Au,PBE0-D30,0.0,136.88922849987046,-241.0705295001734
Au,PBE0-D3,0.0,1092.4579784999817,881.7363504999249
Au,PBE0-D4,0.0,1754.9505285000062,1567.656600499906
Au,PBE0-TSHI,0.0,1541.3395184999838,1348.2887804997902
Au,HSE06,0.0,1909.3548684999344,1723.0814204999135
Au,HSE06-D4,0.0,1681.3219884997063,1515.0381304997084
Au,B3LYP,0.0,1319.0679384996595,1120.1019904996813
Au,B3LYP-D2,0.0,573.1411784999121,217.43082049983252
Au,B3LYP-D2-Ne,0.0,573.1411784999121,217.43082049983252
Au,B3LYP-D30,0.0,-1485.3446115003924,-1987.4662894999872
Au,B3LYP-D3,0.0,221.75183849994335,23.783840500020347
Au,HF
Au,MP2
Au,CCSD
Au,CCSD(T)
