Metal,Method,Energy 1 (meV),Energy 2 (meV),Energy 3 (meV),Energy 4 (meV)
Au,PBE,0.0,486.7349700000432,1160.8814200001234,1107.1049399999993
Au,PBE-D2,0.0,768.9688200000546,693.7822700001561,1174.8827400001574
Au,PBE-D2-Ne,0.0,768.9688200000546,693.7822700001561,1174.8827400001574
Au,PBE-DDSC,0.0,582.5388999999177,953.6318399998436,1029.176939999843
Au,PBE-D30,0.0,656.9301500001075,586.7197800000667,897.3069799999394
Au,PBE-D3,0.0,626.2172500000815,919.0310799999679,1015.3284400000757
Au,PBE-TS,0.0,659.1272999999092,958.4179700000277,835.4008399999202
Au,PBE-TSHI,0.0,593.3748099998866,1092.7974999999606,1081.641399999853
Au,PBE-D4,0.0,591.5500899998278,960.8705999999074,1058.3231799998885
Au,PBE-MBDHI,0.0,572.0272200001091,1070.9409700000379,1090.910010000016
Au,PBE-MBDFI,0.0,612.3963799998364,823.03912999987,1031.205219999947
Au,revPBE,0.0,400.44956999986425,1218.852409999954,1048.7618199999815
Au,REVPBE-D30,0.0,690.3673099998286,118.45491999997648,828.9856799999598
Au,revPBE-D3,0.0,658.4569399999509,733.2221300000583,864.8728299999675
Au,revPBE-D4,0.0,560.9632499999861,851.3893300000746,959.7143900000447
Au,PBEsol,0.0,589.4838899998831,1176.3036699999248,1325.4138899999361
Au,PBEsol-D3,0.0,736.6235900001357,986.558210000112,1233.407070000112
Au,PBEsol-D4,0.0,660.7080399999177,1074.8204199999236,1279.3472799999108
Au,vdW-DF,0.0,490.4497200000151,966.4914400000271,766.3200399999823
Au,vdW-DF2,0.0,460.13398000002326,920.499560000053,591.5540199999896
Au,optB86b-vdW,0.0,622.2004600000446,967.286080000008,1086.9668899999851
Au,rev-vdW-DF2,0.0,588.2003000000395,1000.5071300000736,1081.0868300000038
Au,R2SCAN,0.0,608.5164600001463,1204.70403000013,1203.4387100000004
Au,R2SCAN-D3,0.0,683.2760699999199,1109.913699999879,1155.8263599999918
Au,R2SCAN-D4,0.0,653.7009399999079,1140.7237599999007,1172.689709999986
Au,R2SCAN-RVV10,0.0,675.3773499999625,1101.780559999952,1189.4117499998629
Au,SCAN-rVV10,0.0,657.8268599998864,1351.8579899998713,1373.400140000058
Au,PBE0,0.0,563.9634099998148,1197.0750799998768,1250.991989999875
Au,PBE0-D30,0.0,758.0208800000037,512.7306000001681,1053.5236200000782
Au,PBE0-D3,0.0,719.2528299999594,939.890480000031,1148.3872999999676
Au,PBE0-D4,0.0,667.7012400000422,1011.254259999987,1196.8834199999492
Au,PBE0-TSHI,0.0,668.2599399998708,1133.0975999999282,1220.424329999787
Au,HSE06,0.0,563.6011199999302,1201.6054099999565,1238.3806499999537
Au,HSE06-D4,0.0,665.9389200001442,1020.2454400000533,1185.6677600001149
Au,B3LYP,0.0,465.1091800001268,1269.2075100001148,1006.0997400000815
Au,B3LYP-D2,0.0,860.2384900000288,615.2681700000358,1100.9896800001115
Au,B3LYP-D2-Ne,0.0,860.2384900000288,615.2681700000358,1100.9896800001115
Au,B3LYP-D30,0.0,762.3705500000142,55.11389000002964,678.0797700000676
Au,B3LYP-D3,0.0,722.5016600000345,770.51234999999,844.174010000188
Au,B3LYP-D4,0.0,651.5766499999245,836.2998999998581,1034.1185199999927
Au,HF,0.0,480.3058094959551,1170.4631093187218,978.1763116328203
Au,MP2,0.0,854.7361590733984,1157.8994618803554,1747.293903333914
Au,CCSD,0.0,688.7941943071195,1171.3105326668108,1320.3301187747734
Au,CCSD(T),0.0,709.9699109358797,1046.8461062989982,1343.0269165538482
Ag,PBE,0.0,344.80531999997766,468.411739999965,769.0598399999544
Ag,PBE-D2,0.0,16.707999999880485,705.0970199998119,384.7087299998293
Ag,PBE-D2-Ne,0.0,16.707999999880485,705.0970199998119,384.7087299998293
Ag,PBE-DDSC,0.0,134.5794499998192,596.6599599998972,561.21748999999
Ag,PBE-D30,0.0,-289.7662800000944,634.7408699998596,90.70020999979533
Ag,PBE-D3,0.0,48.95096999985071,618.7371799999255,510.02833999996255
Ag,PBE-TS,0.0,61.745490000021164,655.9033900000486,509.4270100000813
Ag,PBE-TSHI,0.0,230.90797999998358,575.3135599998132,638.8687199998913
Ag,PBE-D4,0.0,115.30648999996629,579.3946599999344,588.7650399999984
Ag,PBE-MBDHI,0.0,207.7447699998629,584.0091499999289,656.6095099999529
Ag,PBE-MBDFI,0.0,-55.716050000000905,588.8807900000756,404.4046399999388
Ag,revPBE,0.0,451.08320999997886,354.1669300000194,815.8283800000845
Ag,REVPBE-D30,0.0,-749.1384100001142,647.308780000003,-475.5543999999645
Ag,revPBE-D3,0.0,-145.6686900000932,634.822559999975,301.42798999986553
Ag,revPBE-D4,0.0,24.20456999993803,534.715050000159,485.3693600000497
Ag,PBEsol,0.0,257.69420000005994,606.8908800000372,815.9397399999762
Ag,PBEsol-D3,0.0,24.449380000078236,759.7547400000622,587.4247100000503
Ag,PBEsol-D4,0.0,139.1273099998216,679.022729999815,703.1409100000019
Ag,vdW-DF,0.0,294.15844000004654,441.5461600000299,553.3820500000957
Ag,vdW-DF2,0.0,314.0567399999554,421.2144199999557,470.2603299999737
Ag,optB86b-vdW,0.0,148.3458199999177,626.6934699999638,619.8518399999102
